# key	mode	section	description	tags
i	N	Basics	Enter Insert mode	insert edit core
jk	I	Basics	Leave Insert mode and return to Normal mode	Esc escape normal core
:w	N	Basics	Save the current file	write save core
qq	N/V	Basics	Close the current window	quit close window core
Q	N/V	Basics	Quit all windows	quit all qa
u	N	Basics	Undo the last change	undo core
<C-r>	N	Basics	Redo the last undone change	redo
.	N	Basics	Repeat the last change	repeat change
v	N	Basics	Enter characterwise Visual mode	visual select
V	N	Basics	Enter linewise Visual mode	visual line select
<C-v>	N	Basics	Enter blockwise Visual mode	visual block column
<Esc>	N/V	Basics	Cancel the current action or leave Visual mode	cancel escape
<S-H>	N/V/O	Motion	Move to the first non-blank character	line start beginning ^ core
<S-L>	N/V/O	Motion	Move to the end of the line	line end $ core
w / b	N/V/O	Motion	Move forward or backward by one word	word next previous
e	N/V/O	Motion	Move to the end of the word	word end
gg / G	N/V/O	Motion	Move to the start or end of the file	file top bottom start end
{ / }	N/V/O	Motion	Move to the previous or next paragraph	paragraph block
%	N/V/O	Motion	Jump to the matching bracket	bracket pair matching
<C-o>	N	Motion	Go back in the jump list	jump back history core
<C-i>	N	Motion	Go forward in the jump list	jump forward history
ma	N	Motion	Set mark a at the current position	mark bookmark
'a	N	Motion	Jump to the line containing mark a	mark bookmark jump
``	N	Motion	Return to the previous jump position	jump back position
zz	N	Motion	Center the current line on screen	center scroll
<leader>f	N/V/O	Motion	Flash jump to a visible location	flash jump label core
<leader>j / <leader>k	N/V/O	Motion	Flash jump by line	flash line jump
<C-h/j/k/l>	N	Windows	Focus the left/down/up/right split	window split focus navigation core
<C-w>v	N	Windows	Create a vertical split	vsplit vertical split
<C-w>s	N	Windows	Create a horizontal split	split horizontal
<C-w>q	N	Windows	Close the current split	window close quit
<C-w>o	N	Windows	Keep only the current split	window only close others
<C-w>=	N	Windows	Equalize split widths and heights	window equal resize
<C-w>10<	N	Windows	Shrink the current window by 10 columns	window resize width smaller terminal
<C-w>10>	N	Windows	Grow the current window by 10 columns	window resize width larger terminal
:vsplit | terminal	N	Terminal	Open a terminal in a vertical split	terminal shell vertical vsplit core
<C-\\><C-n>	T	Terminal	Leave Terminal mode for Normal mode	terminal normal escape core
i	N	Terminal	Return to input mode inside a terminal	terminal insert
<A-i>	N/T	Terminal	Toggle the floating terminal	terminal toggle snacks
<leader>e	N	Files	Toggle the NvimTree file tree	tree explorer directory core
<leader>E	N/V	Files	Open Yazi at the current file	yazi explorer directory core
<leader>cw	N	Files	Open Yazi in the working directory	yazi cwd working directory
<C-Up>	N	Files	Resume the previous Yazi session	yazi resume session
<leader><space>	N	Files	Smart file finder	find file smart picker core
<leader>sf	N	Files	Find files by name	find files filename picker core
<leader>sr	N	Files	Find recently opened files	recent file picker
<leader>sp	N	Files	Find projects	project find picker
<leader>,	N	Buffers	Find open buffers	buffer list picker core
<A-h> / <A-l>	N	Buffers	Switch to the previous or next buffer	buffer previous next core
<A-1>…<A-9>	N	Buffers	Switch to buffer 1 through 9	buffer goto tab
<A-<> / <A->>	N	Buffers	Move the buffer left or right	buffer move reorder
<A-w>	N	Buffers	Delete the current buffer	buffer delete close core
/	N	Search	Search forward in the current file	search find current file core
?	N	Search	Search backward in the current file	search find backward current file
n / N	N	Search	Go to the next or previous match	search match next previous core
* / #	N	Search	Search forward or backward for the word under the cursor	search word cursor next previous
//	N	Search	Clear search highlighting	search clear highlight noh
<leader>sg	N	Search	Search text across the project	search grep global project text core
<leader>sw	N/V	Search	Search the word or visual selection across the project	search grep word selection project text
<leader>sb	N	Search	Search lines in the current buffer	search find buffer lines core
<leader>s/	N	Search	Search the search history	search history
<leader>sR	N	Search	Resume the previous picker search	search picker resume
<leader>sk	N	Search	Search active key mappings	search keymaps shortcut mapping
<leader>s"	N	Search	Search registers	search registers yank
<leader>s:	N	Search	Search the command history	search command history
<leader>sc	N	Search	Search available commands	search commands picker
<leader>sH	N	Search	Search help pages	search help documentation
<leader>sM	N	Search	Search manual pages	search man manual
<leader>st	N	Search	Find TODO, FIX, BUG, and similar comments	search todo fix bug comment
<leader>sT	N	Search	Find all TODO comments, including NOTE	search todo note comment
y / yy	N/V	Editing	Yank text or the current line	yank copy clipboard core
p / P	N	Editing	Paste after or before the cursor	paste put clipboard core
d / dd	N/V	Editing	Delete text or the current line	delete cut core
c / cc	N/V	Editing	Change text or the current line	change replace
x	N	Editing	Delete the character under the cursor	delete character
r	N	Editing	Replace the character under the cursor	replace character
o / O	N	Editing	Open a new line below or above	open new line insert
> / <	N/V	Editing	Increase or decrease indentation	indent shift
<leader>/	N/V	Editing	Toggle comments	comment toggle core
